Time	LatencyAverage
132000.0	336.6453
141600.0	336.6453
151200.0	336.6453
160800.0	336.6453
170400.0	336.6453
180000.0	336.6453
189600.0	336.6453
199200.0	336.6453
208800.0	336.6453
218400.0	336.6453
228000.0	336.6453
237600.0	336.6453
247200.0	336.6453
256800.0	336.6453
264000.0	336.6453
265800.0	336.6453
133800.0	336.6453
143400.0	336.6453
153000.0	336.6453
162600.0	336.6453
172200.0	336.6453
181800.0	336.6453
191400.0	336.6453
201000.0	336.6453
210600.0	336.6453
220200.0	336.6453
229800.0	336.6453
239400.0	336.6453
249000.0	336.6453
258600.0	336.6453
267600.0	336.6453
69000.0	336.6453
269400.0	336.6453
73800.0	336.6453
78600.0	336.6453
83400.0	336.6453
88200.0	336.6453
93000.0	336.6453
97800.0	336.6453
102600.0	336.6453
107400.0	336.6453
112200.0	336.6453
117000.0	336.6453
121800.0	336.6453
126600.0	336.6453
135600.0	336.6453
145200.0	336.6453
600.0	197.4000
154800.0	336.6453
164400.0	336.6453
174000.0	336.6453
183600.0	336.6453
193200.0	336.6453
202800.0	336.6453
212400.0	336.6453
222000.0	336.6453
231600.0	336.6453
241200.0	336.6453
250800.0	336.6453
260400.0	336.6453
271200.0	336.6453
1200.0	93.9667
1800.0	145.1000
2400.0	140.8833
3000.0	154.7667
3600.0	156.1000
4200.0	179.9333
273000.0	336.6453
4800.0	172.3929
5400.0	170.9000
6000.0	189.4647
6600.0	183.9474
7200.0	169.5909
7800.0	173.4609
8400.0	167.4520
137400.0	336.6453
9000.0	166.2593
147000.0	336.6453
9600.0	164.2138
10200.0	161.1267
156600.0	336.6453
166200.0	336.6453
10800.0	159.4031
175800.0	336.6453
11400.0	158.8029
185400.0	336.6453
12000.0	164.5917
195000.0	336.6453
12600.0	161.1000
204600.0	336.6453
13200.0	163.2872
13800.0	171.6610
214200.0	336.6453
223800.0	336.6453
14400.0	171.8857
233400.0	336.6453
15000.0	186.8279
243000.0	336.6453
15600.0	220.9152
252600.0	336.6453
16200.0	230.3958
16800.0	234.1061
274800.0	336.6453
18000.0	260.9596
19200.0	293.8611
20400.0	299.7873
21600.0	319.3183
22800.0	332.1403
24000.0	336.6453
25200.0	336.6453
26400.0	336.6453
27600.0	336.6453
28800.0	336.6453
30000.0	336.6453
31200.0	336.6453
32400.0	336.6453
33600.0	336.6453
36000.0	336.6453
38400.0	336.6453
40800.0	336.6453
43200.0	336.6453
45600.0	336.6453
48000.0	336.6453
50400.0	336.6453
52800.0	336.6453
55200.0	336.6453
57600.0	336.6453
60000.0	336.6453
62400.0	336.6453
64800.0	336.6453
67200.0	336.6453
72000.0	336.6453
76800.0	336.6453
81600.0	336.6453
86400.0	336.6453
91200.0	336.6453
96000.0	336.6453
100800.0	336.6453
105600.0	336.6453
110400.0	336.6453
115200.0	336.6453
120000.0	336.6453
124800.0	336.6453
129600.0	336.6453
134400.0	336.6453
144000.0	336.6453
153600.0	336.6453
163200.0	336.6453
172800.0	336.6453
182400.0	336.6453
192000.0	336.6453
201600.0	336.6453
211200.0	336.6453
220800.0	336.6453
230400.0	336.6453
240000.0	336.6453
249600.0	336.6453
259200.0	336.6453
268800.0	336.6453
270600.0	336.6453
136200.0	336.6453
145800.0	336.6453
155400.0	336.6453
165000.0	336.6453
174600.0	336.6453
184200.0	336.6453
193800.0	336.6453
203400.0	336.6453
213000.0	336.6453
222600.0	336.6453
232200.0	336.6453
241800.0	336.6453
251400.0	336.6453
261000.0	336.6453
272400.0	336.6453
67800.0	336.6453
274200.0	336.6453
72600.0	336.6453
77400.0	336.6453
82200.0	336.6453
87000.0	336.6453
91800.0	336.6453
96600.0	336.6453
101400.0	336.6453
106200.0	336.6453
111000.0	336.6453
115800.0	336.6453
120600.0	336.6453
125400.0	336.6453
130200.0	336.6453
138000.0	336.6453
147600.0	336.6453
157200.0	336.6453
166800.0	336.6453
176400.0	336.6453
186000.0	336.6453
195600.0	336.6453
205200.0	336.6453
214800.0	336.6453
224400.0	336.6453
234000.0	336.6453
243600.0	336.6453
253200.0	336.6453
139800.0	336.6453
149400.0	336.6453
159000.0	336.6453
168600.0	336.6453
178200.0	336.6453
187800.0	336.6453
197400.0	336.6453
207000.0	336.6453
216600.0	336.6453
226200.0	336.6453
235800.0	336.6453
245400.0	336.6453
255000.0	336.6453
33000.0	336.6453
35400.0	336.6453
37800.0	336.6453
40200.0	336.6453
42600.0	336.6453
45000.0	336.6453
47400.0	336.6453
49800.0	336.6453
52200.0	336.6453
54600.0	336.6453
57000.0	336.6453
59400.0	336.6453
61800.0	336.6453
64200.0	336.6453
66000.0	336.6453
262200.0	336.6453
70800.0	336.6453
75600.0	336.6453
80400.0	336.6453
85200.0	336.6453
90000.0	336.6453
94800.0	336.6453
99600.0	336.6453
104400.0	336.6453
109200.0	336.6453
114000.0	336.6453
118800.0	336.6453
123600.0	336.6453
128400.0	336.6453
136800.0	336.6453
146400.0	336.6453
156000.0	336.6453
165600.0	336.6453
175200.0	336.6453
184800.0	336.6453
194400.0	336.6453
204000.0	336.6453
213600.0	336.6453
223200.0	336.6453
232800.0	336.6453
242400.0	336.6453
252000.0	336.6453
261600.0	336.6453
273600.0	336.6453
138600.0	336.6453
148200.0	336.6453
157800.0	336.6453
167400.0	336.6453
177000.0	336.6453
186600.0	336.6453
196200.0	336.6453
205800.0	336.6453
215400.0	336.6453
225000.0	336.6453
234600.0	336.6453
244200.0	336.6453
253800.0	336.6453
66600.0	336.6453
71400.0	336.6453
76200.0	336.6453
81000.0	336.6453
85800.0	336.6453
90600.0	336.6453
95400.0	336.6453
100200.0	336.6453
105000.0	336.6453
109800.0	336.6453
114600.0	336.6453
119400.0	336.6453
124200.0	336.6453
129000.0	336.6453
140400.0	336.6453
150000.0	336.6453
159600.0	336.6453
169200.0	336.6453
178800.0	336.6453
188400.0	336.6453
198000.0	336.6453
207600.0	336.6453
217200.0	336.6453
226800.0	336.6453
236400.0	336.6453
246000.0	336.6453
255600.0	336.6453
263400.0	336.6453
132600.0	336.6453
142200.0	336.6453
151800.0	336.6453
161400.0	336.6453
171000.0	336.6453
180600.0	336.6453
190200.0	336.6453
199800.0	336.6453
209400.0	336.6453
219000.0	336.6453
228600.0	336.6453
238200.0	336.6453
247800.0	336.6453
257400.0	336.6453
17400.0	253.7608
265200.0	336.6453
18600.0	280.3660
19800.0	293.8611
21000.0	312.2661
22200.0	322.7689
23400.0	336.6453
24600.0	336.6453
25800.0	336.6453
27000.0	336.6453
28200.0	336.6453
29400.0	336.6453
30600.0	336.6453
31800.0	336.6453
34800.0	336.6453
37200.0	336.6453
39600.0	336.6453
42000.0	336.6453
44400.0	336.6453
46800.0	336.6453
49200.0	336.6453
51600.0	336.6453
54000.0	336.6453
56400.0	336.6453
58800.0	336.6453
61200.0	336.6453
63600.0	336.6453
69600.0	336.6453
267000.0	336.6453
74400.0	336.6453
79200.0	336.6453
84000.0	336.6453
88800.0	336.6453
93600.0	336.6453
98400.0	336.6453
103200.0	336.6453
108000.0	336.6453
112800.0	336.6453
117600.0	336.6453
122400.0	336.6453
127200.0	336.6453
139200.0	336.6453
148800.0	336.6453
158400.0	336.6453
168000.0	336.6453
177600.0	336.6453
187200.0	336.6453
196800.0	336.6453
206400.0	336.6453
216000.0	336.6453
225600.0	336.6453
235200.0	336.6453
244800.0	336.6453
254400.0	336.6453
131400.0	336.6453
141000.0	336.6453
150600.0	336.6453
160200.0	336.6453
169800.0	336.6453
179400.0	336.6453
189000.0	336.6453
198600.0	336.6453
208200.0	336.6453
217800.0	336.6453
227400.0	336.6453
237000.0	336.6453
246600.0	336.6453
256200.0	336.6453
262800.0	336.6453
264600.0	336.6453
70200.0	336.6453
75000.0	336.6453
79800.0	336.6453
84600.0	336.6453
89400.0	336.6453
94200.0	336.6453
99000.0	336.6453
103800.0	336.6453
108600.0	336.6453
113400.0	336.6453
118200.0	336.6453
123000.0	336.6453
127800.0	336.6453
133200.0	336.6453
142800.0	336.6453
152400.0	336.6453
162000.0	336.6453
171600.0	336.6453
181200.0	336.6453
190800.0	336.6453
200400.0	336.6453
210000.0	336.6453
219600.0	336.6453
229200.0	336.6453
238800.0	336.6453
248400.0	336.6453
258000.0	336.6453
266400.0	336.6453
268200.0	336.6453
135000.0	336.6453
144600.0	336.6453
154200.0	336.6453
163800.0	336.6453
173400.0	336.6453
183000.0	336.6453
192600.0	336.6453
202200.0	336.6453
211800.0	336.6453
221400.0	336.6453
231000.0	336.6453
240600.0	336.6453
250200.0	336.6453
259800.0	336.6453
270000.0	336.6453
34200.0	336.6453
36600.0	336.6453
39000.0	336.6453
41400.0	336.6453
43800.0	336.6453
46200.0	336.6453
48600.0	336.6453
51000.0	336.6453
53400.0	336.6453
55800.0	336.6453
58200.0	336.6453
60600.0	336.6453
63000.0	336.6453
65400.0	336.6453
68400.0	336.6453
271800.0	336.6453
73200.0	336.6453
78000.0	336.6453
82800.0	336.6453
87600.0	336.6453
92400.0	336.6453
97200.0	336.6453
102000.0	336.6453
106800.0	336.6453
111600.0	336.6453
116400.0	336.6453
121200.0	336.6453
126000.0	336.6453
130800.0	336.6453

