Node p0	[0.0663333333253817, 0.0796666666587705, 0.09999166804715014, 0.07498750207499252, 0.07865355773243808, 0.06665555739221844, 0.09065155806586438, 0.10298283618238717, 0.060324999991822864, 0.08833333332484276, 0.08033333332457264, 0.08133333332427262, 0.07199999999078117, 0.08199999999033546, 0.09033333336721817, 0.058999999990324924, 0.08533333332267419, 0.07666666665598287, 0.10699999998793727, 0.10966666665410826, 0.11399999998685093, 0.06866666665524163, 0.5703333332961716, 0.9516666666095402, 0.8159999999535046, 1.031666666603891, 0.7439999999522754, 0.7963333332808634, 0.619333333297972, 1.038999999954563, 0.3499999999909939, 0.5876666666588615, 0.6462339610071379, 0.8728545242588838, 0.6208965172658787, 1.081486418977228, 0.8691884686390831, 0.9438426929510044, 0.7522079654029483, 0.698550241695815, 0.6585569072576981]
Node p1	[0.04999999999199079, 0.1739999999921038, 0.07866188967697263, 0.07498750207186437, 0.10131644724565189, 0.10498250290827466, 0.06932177969564428, 0.06798866854731184, 0.07032499999182705, 0.10166666665812912, 0.07499999999127749, 0.10099999999072691, 0.07199999999078117, 0.0956666666567551, 0.0666666666570337, 0.08966666665621417, 0.07199999998972736, 0.07999999998920745, 0.08499999998873509, 0.07733333332206511, 0.09499999998767819, 0.08933333332093327, 0.3826666666390415, 0.6876666666210377, 0.8379999999518005, 0.6709999999594883, 0.900666666608701, 0.8213333332798295, 0.7063333332927492, 0.9333333332927021, 0.8686666666416187, 0.6679999999908792, 0.8162056323949297, 0.6948841859796653, 0.5969005165986686, 0.623562739571307, 0.6478920180353429, 0.39326778873159257, 0.7202132978453268, 0.8861856358155619, 0.711881353188922, 0.5679053491815278, 0.35360773209557567, 0.24129311785192917]
Node p2	[0.04999999999199079, 0.10566666665863754, 0.05733211130679209, 0.12664555906531794, 0.07798700215837195, 0.09265122478797783, 0.05799033493634768, 0.08598566904729606, 0.05999166665849252, 0.08699999999151413, 0.1439999999907834, 0.08933333332418622, 0.0629999999909111, 0.07666666665709852, 0.10266666665625204, 0.10533333332248368, 0.11133333332192048, 0.06233333332311719, 0.15866666665273027, 0.0586666666561433, 0.07466666665523018, 0.07933333332140505, 0.7939999999514723, 0.6473333332947998, 0.45899999997424507, 0.5703333332990359, 0.7843333332829722, 0.5353333332966496, 1.0279999999401053, 0.5546666666432575, 0.957333333305543, 0.6209999999916489, 0.6635644059329527, 0.9378436927316328, 0.7108815197679164, 0.7478753541407456, 0.844192634610315, 0.996833861094521, 0.6665555741275054, 0.6695550742208229, 0.7778703550297437, 0.4655890685488161]
Node p3	[0.04999999999199079, 0.09266666665869946, 0.06799700049187933, 0.06732211297320409, 0.09465089151010107, 0.09531744707817644, 0.07732044658448856, 0.06732211297323834, 0.08899166665849587, 0.08199999999153175, 0.07733333332459412, 0.08099999999094289, 0.11699999999013151, 0.07966666665704429, 0.1226666666558178, 0.0713333333233456, 0.11033333338212163, 0.07199999998946846, 0.09966666665486988, 0.08466666665510583, 0.07533333332186783, 0.0816666666546283, 0.5726666666293864, 0.8343333332817672, 0.8876666666160095, 0.9749999999407223, 1.2076666665886329, 0.49133333330013135, 0.457999999974324, 0.873666666628749, 0.5179999999857978, 0.6743333333241088, 0.6455674054330689, 0.4629228462000098, 0.8001999666958648, 0.8815197467475682, 0.636227295488443, 0.8391934678154005, 0.7928678554247539, 0.9278453591991656, 0.33161139813785523, 0.44492584574990257, 0.3672721213659761]
Node p4	[0.058333333325353495, 0.0843333333253389, 0.086993834352819, 0.09231794700077202, 0.09398433593603191, 0.0843192801121057, 0.05765705714931579, 0.10298283618617003, 0.0803249999918282, 0.06833333332491322, 0.06866666665798951, 0.07199999999104006, 0.06799999999083892, 0.12366666665624901, 0.07466666665686, 0.07966666665646768, 0.09233333332247126, 0.08266666665578712, 0.13566666665356436, 0.096666666654627, 0.060999999989158574, 0.09299999998742695, 0.7496666666203918, 0.8486666666158418, 1.0743333332718321, 1.0033333332723067, 0.8329999999464576, 0.7066666666167736, 0.9956666666087131, 0.6569999999719366, 0.717666666646289, 1.1979999999821986, 0.7695467422100457, 0.8865189135275129, 0.8988501916610617, 0.5612397933909481, 0.6235627395781074, 0.8908515248086029, 0.8641893018567054, 0.5075820697058847]
Node p5	[0.04999999999199079, 0.0926666666587025, 0.08832694550095795, 0.14264289284296638, 0.1033161139730093, 0.09598400265832668, 0.08398600232508402, 0.08498583568618581, 0.08165833332516169, 0.10033333332480049, 0.0923333333244867, 0.05999999999116966, 0.10666666665694736, 0.13866666665597788, 0.08233333332336021, 0.1639999999876631, 0.07099999998975635, 0.07466666665604813, 0.08533333332205634, 0.09699999998794703, 0.07533333332186783, 0.07133333332178247, 0.9989999999414976, 0.8196666666229416, 0.7819999999554812, 0.8159999999505375, 0.9353333332731015, 0.8226666666136454, 0.8966666666146563, 0.861999999962613, 0.8023333333103371, 0.8366666666547828, 0.7508831861360922, 0.7898683552859898, 0.5042492918002742, 0.9155140810258519, 0.8575237460902133, 0.9205132478568655, 0.7458756874490039, 0.5402432928386395]
Node p6	[0.04999999999199079, 0.14866666665879671, 0.08932677886205986, 0.05899016829734408, 0.0983169471674845, 0.08065322445471286, 0.08365272453815215, 0.09665055823247189, 0.09232499999182654, 0.08666666665818197, 0.06199999999137058, 0.08333333332425102, 0.09333333332380651, 0.07099999999053427, 0.06599999999038152, 0.0793333333231428, 0.10266666665550504, 0.09166666665549347, 0.09566666665501493, 0.09999999998782733, 0.06066666665583975, 0.10366666665359038, 0.6813333332905309, 0.520333333297444, 0.9613333332783967, 0.6256666666289535, 0.611999999960904, 0.9139999999395119, 0.7363333332909482, 0.9283333332929294, 0.6243333333158424, 0.6263333333248949, 0.8475337443762098, 1.0028328612043804, 1.011498083682131, 0.6325612398216418, 0.5492417930672755, 0.7835360773757583, 0.7642059657372516, 0.4362606232726426, 0.5402432928459777, 0.5895684053419589, 0.2996167305879736]
Node p7	[0.04999999999199079, 0.12866666665881504, 0.0803282786121425, 0.07465422428796127, 0.06932177969546978, 0.06298950174186393, 0.09165139142688125, 0.11798033660282355, 0.06999166665849064, 0.08866666665817492, 0.12699999999090514, 0.06899999999107247, 0.09399999999046356, 0.119333333322994, 0.08233333332336021, 0.06166666665692399, 0.10199999998885771, 0.09833333332194263, 0.08299999998880762, 0.08299999998850567, 0.10366666665396751, 0.06833333332192401, 0.6703333332910899, 0.8983333332803785, 0.8063333332873994, 0.8766666666134592, 1.0596666665983074, 0.6193333332890566, 1.1999999999297797, 0.8319999999639774, 1.1009999999677662, 0.9593333333194406, 0.8462006332280695, 0.5712381269879236, 0.8028661889922215, 0.7805365772699013, 0.5835694051315935, 0.49825029165294626, 0.546242292997409, 0.8145309115961554]
Node p8	[0.0663333333253817, 0.1296666666584973, 0.11332277952851222, 0.07598733543609536, 0.1456423929264043, 0.0779870021584368, 0.134977503733965, 0.07165472420471602, 0.060324999991822864, 0.09333333332482516, 0.07333333332462276, 0.09966666665740798, 0.059666666657625884, 0.09833333332337357, 0.07933333332342535, 0.18100000003935227, 0.07333333332302205, 0.07199999998946846, 0.07199999998920653, 0.0833333333218257, 0.07366666665527373, 0.07099999998846487, 0.6159999999605177, 1.3196666665936998, 1.0746666666051445, 0.7869999999523276, 0.7943333332823185, 0.802333333278609, 0.9009999999477295, 0.5843333333085748, 0.7616666666449281, 0.5596666666593193, 0.6322362939516727, 1.2474587568915458, 0.9048491918278642, 0.5312447925576237, 0.5659056824177165, 0.9995000833898794, 0.9975004166821619]
Node p9	[0.058333333325353495, 0.10199999999195149, 0.07499583401960193, 0.07632061322312661, 0.08798533576940942, 0.07098816863070724, 0.0836527245381461, 0.0983169471676556, 0.06899166665849053, 0.07966666665820663, 0.08466666665787494, 0.08333333332425102, 0.09733333332374877, 0.07033333332387966, 0.08233333332336021, 0.07966666665646768, 0.10899999998865478, 0.079666666655885, 0.08533333332205634, 0.09733333332126706, 0.07199999998867963, 0.09633333332060302, 0.3899999999720022, 0.6556666666227803, 0.6539999999609222, 0.6869999999585007, 1.2386666665866064, 0.9709999999362489, 0.9523333332779812, 0.8766666666286126, 0.7959999999771996, 0.7836666666556515, 0.7488835194138828, 0.5545742376359369, 0.9655057490699784, 0.6725545742675737, 0.8508581903508468, 0.3422762873092729, 1.0684885853266655, 0.6308948509208387, 0.7542076321477671]
