Node p0	[9960.200000004766, 9912.400000009504, 9852.395000014463, 9807.395000019342, 9760.195000024234, 9720.195000033309, 9665.795000038188, 9603.995000045144, 9567.800000049923, 9514.800000054638, 9466.600000059374, 9417.800000064106, 9374.600000068856, 9325.400000073587, 9271.200000051882, 9235.80000005666, 9184.600000061386, 9138.600000066128, 9074.400000070804, 9008.600000075474, 8940.200000080136, 8899.000000084898, 8556.80000008856, 7985.800000089665, 7496.2000000873395, 6877.200000084542, 6430.800000082372, 5953.0000000851705, 5581.400000089487, 4958.000000097468, 4729.6000000997, 4381.600000103673, 3984.995000108353, 3362.395000116322, 2915.5950001217325, 2283.7950001298354, 1742.1950001374753, 1188.395000145807, 720.1950001528929, 210.79500016031244]
Node p1	[9970.000000004802, 9865.60000000954, 9818.39500001443, 9773.395000021186, 9712.595000029236, 9649.595000034209, 9607.995000039009, 9567.195000043772, 9525.000000048527, 9464.000000053213, 9419.00000005796, 9358.40000006265, 9315.2000000674, 9257.8000000721, 9217.800000076866, 9164.000000081578, 9120.800000086332, 9072.800000091067, 9021.80000009579, 8975.400000100532, 8918.400000105235, 8864.800000109952, 8635.200000114024, 8222.600000117433, 7719.800000115314, 7317.200000113304, 6776.800000110792, 6284.00000011331, 5860.200000118386, 5296.4000001255, 4664.400000133605, 4232.000000138806, 3680.795000145736, 3259.9950001507686, 2905.3950001548374, 2473.1950001600358, 2084.5950001645992, 1851.7950001674903, 1383.3950001745793, 786.9950001835309, 380.1950001895817, 41.595000194465044]
Node p2	[9970.000000004802, 9906.60000000962, 9872.195000014444, 9796.195000019485, 9749.395000024373, 9693.79500002931, 9658.995000034138, 9607.395000038861, 9571.400000043639, 9519.200000048357, 9432.800000052954, 9379.200000057668, 9341.400000062438, 9295.40000006718, 9233.800000071868, 9170.600000076545, 9103.800000081214, 9066.400000085987, 8971.20000009055, 8936.000000095331, 8891.20000010008, 8843.600000104818, 8367.200000107992, 7978.800000108549, 7703.400000107002, 7361.200000105211, 6890.600000102953, 6569.400000105681, 5952.600000113565, 5619.800000117318, 5081.600000124058, 4720.800000128217, 4251.595000133953, 3665.195000141395, 3203.195000147027, 2744.3950001526123, 2235.995000158919, 1671.7950001668064, 1346.5950001718115, 890.9950001787142, 510.9950001845053, 275.79500018785967]
Node p3	[9970.000000004802, 9914.400000009582, 9873.595000014442, 9833.195000019296, 9776.395000024238, 9719.195000032832, 9672.795000037655, 9632.39500004242, 9579.000000047134, 9529.800000051862, 9483.400000056605, 9434.800000061337, 9364.60000006599, 9316.800000070725, 9243.200000075369, 9200.40000008012, 9134.200000048688, 9091.00000005344, 9031.200000058132, 8980.400000062857, 8935.200000067603, 8886.200000072336, 8542.600000075994, 8042.000000077853, 7509.4000000753695, 6924.400000072696, 6199.800000069514, 5905.000000071737, 5630.200000074645, 5105.800000081185, 4806.000000084457, 4410.400000089122, 4002.795000093962, 3697.195000097318, 3192.3950001035723, 2571.395000111518, 2188.195000116003, 1636.1950001239682, 1147.9950001313453, 527.5950001406461, 338.59500014333327, 54.59500014742338]
Node p4	[9965.000000004784, 9914.40000000958, 9862.1950000145, 9806.795000019438, 9750.395000024379, 9699.795000029288, 9665.195000034113, 9603.3950000388, 9555.200000043533, 9514.200000048291, 9473.000000053053, 9429.800000057805, 9389.000000062564, 9314.800000067204, 9270.000000071952, 9222.200000076686, 9166.800000081395, 9117.200000086124, 9035.800000090738, 8977.800000095436, 8941.200000100214, 8885.400000104923, 8435.600000108194, 7926.400000109108, 7281.800000106217, 6679.800000103482, 6180.000000101118, 5756.0000001056, 5158.6000001132015, 4764.400000117847, 4339.600000122938, 3639.000000132042, 3177.595000137665, 2669.3950001439694, 2145.5950001505003, 1840.1950001547004, 1450.1950001606483, 908.5950001688025, 413.99500017615657, 131.7950001801949]
Node p5	[9970.000000004802, 9914.40000000958, 9861.395000014503, 9775.795000019594, 9713.79500002456, 9656.195000029507, 9605.795000034414, 9554.79500003914, 9505.80000004387, 9445.600000048558, 9390.200000053268, 9354.200000058046, 9290.200000062721, 9207.000000067328, 9157.60000007206, 9059.20000007661, 9016.600000081366, 8971.800000086112, 8920.600000090835, 8862.400000095533, 8817.20000010028, 8774.400000105035, 8175.000000107497, 7683.200000105162, 7214.000000102909, 6724.4000001005825, 6163.200000097995, 5669.600000100176, 5131.600000106913, 4609.800000113416, 4126.000000119365, 3571.4000001263444, 3116.7950001318686, 2611.7950001381264, 2279.595000141869, 1717.9950001495843, 1203.5950001573424, 669.7950001653829, 216.79500017201855]
Node p6	[9970.000000004802, 9880.800000009524, 9827.19500001445, 9791.795000019278, 9732.79500002423, 9684.395000029133, 9634.195000033977, 9576.195000038677, 9520.800000043386, 9468.800000048104, 9431.60000005288, 9381.600000057608, 9325.600000062312, 9283.000000067066, 9243.400000071833, 9195.800000076568, 9134.200000081255, 9079.200000085964, 9021.800000090665, 8961.800000095356, 8925.400000100135, 8863.20000010482, 8454.40000010824, 8142.200000111638, 7565.4000001089935, 7190.000000107082, 6822.8000001052005, 6274.4000001085715, 5832.600000113909, 5275.600000120924, 4924.400000124943, 4502.600000120233, 3973.9950001268335, 3411.9950001339207, 2662.3950001437374, 2199.395000149384, 1869.5950001538195, 1403.3950001608764, 917.9950001682128, 630.3950001726707, 307.19500017741126, 27.19500018147556]
Node p7	[9970.000000004802, 9892.800000009513, 9844.59500001441, 9799.795000019285, 9758.195000024147, 9720.395000028991, 9665.395000033926, 9594.59500003858, 9552.600000043338, 9499.400000048052, 9423.200000052686, 9381.800000057445, 9325.400000062147, 9253.800000066796, 9204.400000071528, 9167.4000000763, 9106.20000008099, 9047.200000085684, 8997.400000090413, 8947.60000009514, 8885.400000099826, 8844.400000104588, 8442.200000108032, 7903.200000108493, 7419.400000106189, 6893.400000103729, 6257.600000100871, 5886.0000001051285, 5166.0000001145145, 4666.600000120691, 4015.400000129076, 3439.400000136367, 2931.1950001426712, 2570.3950001468306, 2085.1950001528, 1624.195000159445, 1263.7950001649622, 976.3950001694172, 670.1950001741457, 175.19500018138973]
Node p8	[9960.200000004766, 9882.400000009668, 9814.395000014669, 9768.79500001955, 9681.395000024653, 9634.595000029545, 9553.595000039097, 9510.595000043852, 9474.40000004863, 9418.400000053334, 9374.400000058085, 9314.600000062777, 9278.800000067555, 9219.80000007225, 9172.200000076988, 9063.600000050228, 9019.60000005498, 8976.400000059732, 8933.200000064484, 8883.200000069211, 8839.000000073962, 8796.400000078718, 8426.800000082281, 7635.000000080064, 6990.200000077173, 6518.00000007491, 6041.40000007263, 5560.000000076565, 5019.40000008334, 4668.800000087352, 4214.400000092873, 3886.800000096549, 3517.7950001008276, 2808.795000110054, 2146.795000118596, 1823.3950001230066, 1476.99500012832, 861.5950001375481, 346.5950001452167]
Node p9	[9965.000000004784, 9903.800000009613, 9858.79500001449, 9812.995000019375, 9760.195000024296, 9717.595000029163, 9667.39500003401, 9608.395000038707, 9567.000000043467, 9519.2000000482, 9468.400000052927, 9418.400000057654, 9360.00000006235, 9317.800000067105, 9268.400000071837, 9220.60000007657, 9155.200000081244, 9107.40000008598, 9056.200000090703, 8997.8000000954, 8954.600000100154, 8896.800000104855, 8662.800000108911, 8269.40000011239, 7877.000000111613, 7464.800000109568, 6721.6000001063185, 6139.000000109594, 5567.600000116818, 5041.6000001233815, 4564.400000129234, 4117.2000001346505, 3699.3950001396393, 3396.7950001429517, 2838.395000149986, 2418.795000155001, 1893.7950001617521, 1588.3950001664691, 921.9950001764394, 531.3950001823962, 88.99500018878447]
