Time	LatencyAverage
217200.0	19137.1296
226800.0	19137.1296
236400.0	19137.1296
246000.0	19137.1296
255600.0	19137.1296
263400.0	19137.1296
132600.0	19137.1296
142200.0	19137.1296
151800.0	19137.1296
161400.0	19137.1296
171000.0	19137.1296
180600.0	19137.1296
190200.0	19137.1296
199800.0	19137.1296
209400.0	19137.1296
219000.0	19137.1296
228600.0	19137.1296
238200.0	19137.1296
247800.0	19137.1296
257400.0	19137.1296
17400.0	NaN
265200.0	19137.1296
18600.0	NaN
19800.0	NaN
21000.0	5281.9000
22200.0	10382.8333
23400.0	10142.3576
24600.0	9475.0275
25800.0	9817.4532
27000.0	9817.4532
28200.0	9817.4532
29400.0	9817.4532
30600.0	9817.4532
31800.0	9817.4532
34800.0	9817.4532
37200.0	9817.4532
39600.0	10299.2771
42000.0	10299.2771
44400.0	10299.2771
46800.0	10299.2771
49200.0	10299.2771
51600.0	10299.2771
54000.0	10299.2771
56400.0	10299.2771
58800.0	10299.2771
61200.0	10299.2771
63600.0	10154.8755
69600.0	10154.8755
267000.0	19137.1296
74400.0	12764.8148
79200.0	18554.6044
84000.0	18832.5812
88800.0	18832.5812
93600.0	18607.3357
98400.0	19137.1296
103200.0	19137.1296
108000.0	19137.1296
112800.0	19137.1296
117600.0	19137.1296
122400.0	19137.1296
127200.0	19137.1296
139200.0	19137.1296
148800.0	19137.1296
158400.0	19137.1296
168000.0	19137.1296
177600.0	19137.1296
187200.0	19137.1296
196800.0	19137.1296
206400.0	19137.1296
216000.0	19137.1296
225600.0	19137.1296
235200.0	19137.1296
244800.0	19137.1296
254400.0	19137.1296
131400.0	19137.1296
141000.0	19137.1296
150600.0	19137.1296
160200.0	19137.1296
169800.0	19137.1296
179400.0	19137.1296
189000.0	19137.1296
198600.0	19137.1296
208200.0	19137.1296
217800.0	19137.1296
227400.0	19137.1296
237000.0	19137.1296
246600.0	19137.1296
256200.0	19137.1296
262800.0	19137.1296
264600.0	19137.1296
70200.0	10154.8755
75000.0	13047.8579
79800.0	18554.6044
84600.0	18832.5812
89400.0	18832.5812
94200.0	18607.3357
99000.0	19137.1296
103800.0	19137.1296
108600.0	19137.1296
113400.0	19137.1296
118200.0	19137.1296
123000.0	19137.1296
127800.0	19137.1296
133200.0	19137.1296
142800.0	19137.1296
152400.0	19137.1296
162000.0	19137.1296
171600.0	19137.1296
181200.0	19137.1296
190800.0	19137.1296
200400.0	19137.1296
210000.0	19137.1296
219600.0	19137.1296
229200.0	19137.1296
238800.0	19137.1296
248400.0	19137.1296
258000.0	19137.1296
266400.0	19137.1296
268200.0	19137.1296
135000.0	19137.1296
144600.0	19137.1296
154200.0	19137.1296
163800.0	19137.1296
173400.0	19137.1296
183000.0	19137.1296
192600.0	19137.1296
202200.0	19137.1296
211800.0	19137.1296
221400.0	19137.1296
231000.0	19137.1296
240600.0	19137.1296
250200.0	19137.1296
259800.0	19137.1296
270000.0	19137.1296
34200.0	9817.4532
36600.0	9817.4532
39000.0	10299.2771
41400.0	10299.2771
43800.0	10299.2771
46200.0	10299.2771
48600.0	10299.2771
51000.0	10299.2771
53400.0	10299.2771
55800.0	10299.2771
58200.0	10299.2771
60600.0	10299.2771
63000.0	10299.2771
65400.0	10154.8755
68400.0	10154.8755
271800.0	19137.1296
73200.0	11003.9059
78000.0	16320.6000
82800.0	18832.5812
87600.0	18832.5812
92400.0	18607.3357
97200.0	19137.1296
102000.0	19137.1296
106800.0	19137.1296
111600.0	19137.1296
116400.0	19137.1296
121200.0	19137.1296
126000.0	19137.1296
130800.0	19137.1296

