Node p0	[0.0, 2.2222222222314502E-5, 3.386935742109313E-5, -4.166666550941996E-5, 6.1090745833286694E-6, -1.9993335011270122E-5, 3.998667001122474E-5, 2.0548705409972013E-5, -7.109639365069005E-5, 4.66805555546989E-5, -1.3333333333639558E-5, 1.6666666661425671E-6, -1.555555555553791E-5, 1.6666666665561926E-5, 1.3888888961119104E-5, -5.2222222293308234E-5, 4.388888888581683E-5, -1.4444444443961706E-5, 5.0555555551240034E-5, 4.444444443424805E-6, 7.222222220897036E-6, -7.555555554884269E-5, 8.361111110226867E-4, 6.355555554853601E-4, -2.2611111107943483E-4, 3.594444443938143E-4, -4.794444443862745E-4, 8.722222220907719E-5, -2.949999999580688E-4, 6.994444444060185E-4, -0.0010972222221451158, 3.322222222254075E-4, 1.3480783810261996E-4, 6.275546866024197E-4, -4.881705962495358E-4, 5.137176354756492E-4, -2.5047205792074547E-4, 3.387759544179103E-5, -2.3769853835064835E-4, 1.1440630587542011E-4]
Node p1	[0.0, 2.0666666666685363E-4, -1.5887037213000707E-4, -6.1229588487167376E-6, 4.387426291261318E-5, 6.109074591961463E-6, -5.942463458217659E-5, -2.2214816669431665E-6, 3.893885740844972E-6, 5.2236111110129404E-5, -4.4444444444272783E-5, 4.3333333331790115E-5, -4.833333333236928E-5, 3.944444444243344E-5, -4.833333333164372E-5, 3.833333333085622E-5, -2.944444444318401E-5, 1.3333333331983288E-5, 8.333333332213532E-6, -1.2777777777226935E-5, 2.9444444441299316E-5, -9.44444444409494E-6, 4.888888888368915E-4, 5.083333332737967E-4, 2.5055555553580444E-4, -2.783333333023261E-4, 3.827777777222736E-4, -1.3222222220684817E-4, -1.9166666663641673E-4, 3.8888888887630247E-4, 1.894444444582749E-4, -5.544444444088056E-4, 3.297037933019072E-4, -3.621153959125925E-4, -1.8382760790896233E-4, 2.1548372169816142E-4, -1.2107075082904032E-4, -4.326335546289349E-4, 6.54226350949842E-4, 3.554370667552829E-4, -5.264911550940625E-4, -1.893813121145662E-4]
Node p2	[0.0, 9.277777777774395E-5, -8.054416822511095E-5, 1.1550316240401841E-4, -8.108408083165872E-5, 2.4436298333043014E-5, -5.775852333237826E-5, 4.665111499908613E-5, -4.3323337314519935E-5, 4.501388888804701E-5, 9.499999999775622E-5, -9.111111110967993E-5, -4.3888888887998584E-5, 2.2777777776484465E-5, 4.3333333330824E-5, 4.444444443590557E-6, 9.999999998735072E-6, -8.166666666171055E-5, 1.6055555554294855E-4, -1.6666666665372153E-4, 2.666666666388671E-5, 7.77777777656287E-6, 0.0011911111109852508, -2.444444444135871E-4, -3.138888888482147E-4, 1.855555555291886E-4, 3.566666666152815E-4, -4.1499999995229077E-4, 8.211111110350814E-4, -7.888888888036802E-4, 5.705555555420199E-4, -4.927777777470532E-4, 3.008576687340957E-4, 3.2543317993219677E-4, -3.454403991604474E-4, -8.885926648710305E-6, 1.3773186336685312E-4, 1.5494834628976997E-4, -6.636676480063424E-4, 3.621015117508041E-4, -2.0993001752883154E-4, -4.0208818175263886E-4]
Node p3	[0.0, 7.111111111118063E-5, -4.110925873494818E-5, -1.1246250936118374E-6, 4.5540374165924604E-5, 1.1107408233257521E-6, -2.999000248917748E-5, -1.6661112500002266E-5, 3.6115922808635315E-5, -1.1652777778190085E-5, -7.777777778145393E-6, 6.111111110493053E-6, 5.999999999756323E-5, -6.222222222046103E-5, 7.166666666280572E-5, -8.555555555164019E-5, 6.500000009583932E-5, -6.388888898543839E-5, 4.611111110716242E-5, -2.4999999998518236E-5, -1.555555555466279E-5, 1.0555555554064384E-5, 8.183333332467016E-4, 4.361111110619666E-4, 8.888888888491666E-5, 1.455555555316733E-4, 3.877777777197585E-4, -0.0011938888887424969, -5.5555555540485534E-5, 6.933333332914613E-4, -6.238888888381754E-4, 2.6611111111838584E-4, 3.3153022162125046E-5, -2.8325279675003493E-4, 5.53148935040326E-4, 3.226702121294369E-4, -6.603354254634057E-4, 4.687326317439326E-4, -1.7716316292489196E-4, 3.6709984550836966E-4, -0.0011979339889937445, 2.6380094799132294E-4]
Node p4	[0.0, 4.333333333330872E-5, 4.433429474225127E-6, 8.872042406203405E-6, 2.7768520834268004E-6, -1.6105742082921682E-5, -4.4429633332594476E-5, 7.553037666532151E-5, -3.7763060323770024E-5, -1.998611111138185E-5, 5.555555551211571E-7, 5.555555555004052E-6, -6.666666666881416E-6, 9.277777777366903E-5, -8.166666666357803E-5, 8.333333332437895E-6, 2.111111110931718E-5, -1.6111111110555976E-5, 8.8333333326104E-5, -6.499999999539879E-5, -5.944444443964288E-5, 5.3333333327737075E-5, 0.0010944444443286776, 1.6499999998283133E-4, 3.761111110700997E-4, -1.1833333332480715E-4, -2.8388888885682505E-4, -2.105555555368331E-4, 4.816666666313259E-4, -5.644444443771698E-4, 8.50000000119159E-5, 7.661111111143362E-4, -6.645333778011357E-4, 1.2994279326101576E-4, 4.331889252272455E-5, -6.06464495029513E-4, 2.3492168628645832E-4, 4.2097077590713135E-4, -1.305120479162549E-4, -5.89803382595038E-4]
Node p5	[0.0, 7.11111111111857E-5, -7.231663319027621E-6, 9.0511493654569E-5, -6.553370916524597E-5, -1.2218149166321007E-5, -1.9993334999646194E-5, 1.6661112499615188E-6, -5.545837268354002E-6, 3.112499999917512E-5, -1.3333333333712323E-5, -5.388888888808377E-5, 7.777777777489036E-5, 5.333333333055951E-5, -9.388888888531597E-5, 1.361111111032258E-4, -1.549999999914541E-4, 6.111111110264668E-6, 1.7777777775970974E-5, 1.944444444230454E-5, -3.611111110842834E-5, -6.666666666470143E-6, 0.0015461111109486658, -2.988888888468967E-4, -6.277777777522542E-5, 5.6666666654722984E-5, 1.9888888885721543E-4, -1.8777777775448742E-4, 1.233333333294089E-4, -4.499999997481708E-5, -1.0555555552946751E-4, 1.966666666826419E-4, -2.7792799774262054E-4, 1.3993946076095565E-4, -4.798400400038661E-4, 6.370098679790833E-4, -1.310674183269277E-4, 5.38709304448767E-5, -2.2436964834859495E-4]
Node p6	[0.0, 1.6444444444467543E-4, -9.888333243924415E-5, -5.055259217592193E-5, 6.553370916555148E-5, -2.94346320827125E-5, 4.998333750125878E-6, 2.1659446249493802E-5, -7.20926373438351E-6, -9.430555556006756E-6, -4.111111111090836E-5, 3.555555555428743E-5, 1.666666666562457E-5, -3.7222222221312204E-5, -8.333333333376673E-6, 2.2222222220624607E-5, 3.88888888860016E-5, -1.8333333332687765E-5, 6.666666665603076E-6, 7.222222221039536E-6, -6.55555555502198E-5, 7.166666665927587E-5, 9.627777776758067E-4, -2.683333333062233E-4, 7.349999999228825E-4, -5.594444443791685E-4, -2.2777777778510687E-5, 5.033333332674632E-4, -2.961111110674721E-4, 3.199999999934048E-4, -5.716666666171059E-4, 1.9611111114884057E-4, 2.963864740466494E-4, 9.273297534626345E-5, 5.209374508823893E-4, -7.958458071164613E-4, -3.698766975235474E-4, 3.7876262423044564E-4, 5.331556002773785E-5, -5.492613421714185E-4, 9.885593420119984E-5, -1.1996001001731244E-4]
Node p7	[0.0, 1.3111111111137287E-4, -8.055055498536273E-5, -9.455181343428623E-6, -8.88592666639894E-6, -1.0552037916395326E-5, 4.776185583256933E-5, 4.387426291608951E-5, -7.998111657360642E-5, 3.1124999999250916E-5, 6.388888888719377E-5, -9.666666666499224E-5, 4.166666666489871E-5, 4.222222221996732E-5, -6.166666666449303E-5, -3.4444444443061866E-5, 6.72222222176963E-5, -6.111111111303512E-6, -2.5555555554205285E-5, -5.03254845182133E-16, 3.444444444081136E-5, -5.888888888374663E-5, 0.0010033333332273072, 3.7999999996007243E-4, -1.5333333331216638E-4, 1.1722222220243692E-4, 3.0499999995370016E-4, -7.33888888804694E-4, 9.677777776905232E-4, -6.127777777018542E-4, 4.2166666666690865E-4, -2.0888888885876527E-4, -1.8852326476486732E-4, -4.0932188133201055E-4, 3.454403991987171E-4, -6.719982040527317E-5, -2.793513195960279E-4, -2.0271020209672208E-4, 5.2204819186995626E-5, 5.242696734491437E-4]
Node p8	[0.0, 1.0555555555519194E-4, -2.7235272671221186E-5, -6.221537092565324E-5, 1.1607241708131727E-4, -1.1274019458125834E-4, 9.496834123603069E-5, -1.05520379152235E-4, -1.8882873688088747E-5, 5.5013888887943215E-5, -3.33333333333107E-5, 4.388888888734175E-5, -6.666666666509851E-5, 6.444444444151355E-5, -3.166666666577761E-5, 1.694444445216329E-4, -1.7944444452136236E-4, -2.2222222225087344E-6, -4.3654894512373067E-16, 1.8888888886876183E-5, -1.6111111110159853E-5, -4.444444444455576E-6, 9.083333332372919E-4, 0.0011727777776538407, -4.0833333328905215E-4, -4.79444444390021E-4, 1.2222222215808032E-5, 1.3333333326350448E-5, 1.6444444444105508E-4, -5.277777777156009E-4, 2.8833333333386793E-4, -3.522222221974445E-4, 1.148239443990322E-4, 9.441158241081046E-4, -1.3051204789462146E-4, -9.402421154670483E-4, 6.386759793510265E-5, 7.469732105336513E-4, -2.787959491880821E-4]
Node p9	[0.0, 7.277777777766283E-5, -4.499944338005988E-5, 2.2075974063107514E-6, 1.9437964583093745E-5, -2.8323891249398257E-5, 2.1104075833171756E-5, 2.4436298332796507E-5, -4.8875467515102934E-5, 1.7791666666066084E-5, 8.333333332690529E-6, -2.222222222674439E-6, 2.3333333332074503E-5, -4.4999999998804785E-5, 1.999999999862724E-5, -4.444444444692037E-6, 4.888888888538342E-5, -4.888888888617671E-5, 9.444444443242044E-6, 1.999999999781373E-5, -4.2222222218987064E-5, 4.055555555114476E-5, 4.894444443923462E-4, 4.427777777255748E-4, -2.7777777695920384E-6, 5.499999999236894E-5, 9.194444443167286E-4, -4.46111111057148E-4, -3.111111109569781E-5, -1.2611111107838053E-4, -1.355555555278784E-4, -8.33333333125271E-5, -8.183253501283153E-5, -3.19907244250409E-4, 7.103187629648211E-4, -3.8542706917481766E-4, 2.9268020963156164E-4, -6.097967175660914E-4, 0.0010024436022630556, -7.658558047065745E-4, 1.4384093796573176E-4]
