Time	ProbabilityMessageDelivered
132000.0	0.17336683417085427
141600.0	0.16159250585480095
151200.0	0.1513157894736842
160800.0	0.1419753086419753
170400.0	0.13398058252427184
180000.0	0.12683823529411764
189600.0	0.12041884816753927
199200.0	0.11442786069651742
208800.0	0.10900473933649289
218400.0	0.1042296072507553
228000.0	0.09985528219971057
237600.0	0.09583333333333334
247200.0	0.09212283044058744
256800.0	0.08857509627727857
264000.0	0.08614232209737828
265800.0	0.08560794044665013
133800.0	0.1707920792079208
143400.0	0.15935334872979215
153000.0	0.14935064935064934
162600.0	0.14052953156822812
172200.0	0.1324376199616123
181800.0	0.12545454545454546
191400.0	0.11917098445595854
201000.0	0.11330049261083744
210600.0	0.10815047021943573
220200.0	0.10344827586206896
229800.0	0.09913793103448276
239400.0	0.09517241379310344
249000.0	0.0913907284768212
258600.0	0.08801020408163265
267600.0	0.08497536945812807
69000.0	0.33014354066985646
269400.0	0.08445532435740515
73800.0	0.3094170403587444
78600.0	0.28991596638655465
83400.0	0.27380952380952384
88200.0	0.2593984962406015
93000.0	0.24555160142348753
97800.0	0.23389830508474577
102600.0	0.22258064516129034
107400.0	0.21296296296296297
112200.0	0.20353982300884957
117000.0	0.1954674220963173
121800.0	0.1880108991825613
126600.0	0.1806282722513089
135600.0	0.1687041564792176
145200.0	0.15753424657534246
600.0	1.0
154800.0	0.14775160599571735
164400.0	0.13883299798792756
174000.0	0.1311787072243346
183600.0	0.12432432432432433
193200.0	0.11794871794871795
202800.0	0.11237785016286644
212400.0	0.10730948678071539
222000.0	0.1025260029717682
231600.0	0.09829059829059829
241200.0	0.09439124487004104
250800.0	0.09078947368421053
260400.0	0.08734177215189873
271200.0	0.08383961117861483
1200.0	1.0
1800.0	1.0
2400.0	0.8571428571428571
3000.0	1.0
3600.0	0.9090909090909091
4200.0	0.9230769230769231
273000.0	0.08333333333333333
4800.0	1.0
5400.0	0.9375
6000.0	0.9444444444444444
6600.0	0.95
7200.0	1.0
7800.0	0.9583333333333334
8400.0	1.0
137400.0	0.16666666666666666
9000.0	1.0
147000.0	0.1554054054054054
9600.0	1.0
10200.0	0.967741935483871
156600.0	0.14587737843551796
166200.0	0.13745019920318724
10800.0	0.9696969696969697
175800.0	0.12994350282485875
11400.0	1.0
185400.0	0.12321428571428572
12000.0	1.0
195000.0	0.11694915254237288
12600.0	1.0
204600.0	0.11129032258064517
13200.0	0.975
13800.0	0.9761904761904762
214200.0	0.10631741140215717
223800.0	0.10176991150442478
14400.0	0.9545454545454546
233400.0	0.09759547383309759
15000.0	0.9555555555555556
243000.0	0.09375
15600.0	0.9787234042553191
252600.0	0.09007832898172324
16200.0	0.9795918367346939
16800.0	0.9607843137254902
274800.0	0.08283313325330131
18000.0	0.9454545454545454
19200.0	0.9310344827586207
20400.0	0.9032258064516129
21600.0	0.9090909090909091
22800.0	0.9420289855072463
24000.0	0.9041095890410958
25200.0	0.881578947368421
26400.0	0.8625
27600.0	0.8214285714285714
28800.0	0.7931034482758621
30000.0	0.7582417582417582
31200.0	0.7340425531914894
32400.0	0.7040816326530612
33600.0	0.6764705882352942
36000.0	0.6330275229357798
38400.0	0.5948275862068966
40800.0	0.5564516129032258
43200.0	0.5267175572519084
45600.0	0.5
48000.0	0.47586206896551725
50400.0	0.45098039215686275
52800.0	0.43125
55200.0	0.41317365269461076
57600.0	0.39655172413793105
60000.0	0.3812154696132597
62400.0	0.36507936507936506
64800.0	0.3520408163265306
67200.0	0.3399014778325123
72000.0	0.3165137614678899
76800.0	0.2974137931034483
81600.0	0.2793522267206478
86400.0	0.26436781609195403
91200.0	0.25
96000.0	0.23793103448275862
100800.0	0.22697368421052633
105600.0	0.21630094043887146
110400.0	0.2072072072072072
115200.0	0.19827586206896552
120000.0	0.19060773480662985
124800.0	0.1830238726790451
129600.0	0.17647058823529413
134400.0	0.17037037037037037
144000.0	0.15898617511520738
153600.0	0.14870689655172414
163200.0	0.13995943204868155
172800.0	0.13218390804597702
182400.0	0.12522686025408347
192000.0	0.11876075731497418
201600.0	0.11292962356792144
211200.0	0.1078125
220800.0	0.1031390134529148
230400.0	0.0988538681948424
240000.0	0.09491059147180192
249600.0	0.09114927344782034
259200.0	0.08778625954198473
