Host	TotalContact
p25	443
p32	447
p18	427
p4	437
p5	451
p10	453
p26	380
p19	419
p40	429
p29	464
p24	427
p23	439
p12	420
p30	450
p0	416
p28	432
p15	430
p20	434
p14	427
p16	410
p7	435
p6	429
p37	392
p33	418
p21	443
p3	404
p8	423
p9	454
p39	437
p27	411
p35	420
p34	458
p22	415
p2	442
p1	440
p11	379
p36	463
p17	447
p38	437
p13	449
p31	445

