Time	ProbabilityMessageDelivered
132000.0	0.15577889447236182
141600.0	0.1451990632318501
151200.0	0.13596491228070176
160800.0	0.12757201646090535
170400.0	0.1203883495145631
180000.0	0.11397058823529412
189600.0	0.1082024432809773
199200.0	0.10281923714759536
208800.0	0.09794628751974724
218400.0	0.09365558912386707
228000.0	0.08972503617945007
237600.0	0.08611111111111111
247200.0	0.08277703604806408
256800.0	0.07958921694480103
264000.0	0.07740324594257178
265800.0	0.07692307692307693
133800.0	0.15346534653465346
143400.0	0.14318706697459585
153000.0	0.1341991341991342
162600.0	0.12627291242362526
172200.0	0.11900191938579655
181800.0	0.11272727272727273
191400.0	0.1070811744386874
201000.0	0.10180623973727422
210600.0	0.09717868338557993
220200.0	0.09295352323838081
229800.0	0.08908045977011494
239400.0	0.08551724137931034
249000.0	0.08211920529801324
258600.0	0.07908163265306123
267600.0	0.07635467980295567
69000.0	0.215311004784689
269400.0	0.07588739290085679
73800.0	0.23766816143497757
78600.0	0.24789915966386555
83400.0	0.24603174603174602
88200.0	0.23308270676691728
93000.0	0.2206405693950178
97800.0	0.21016949152542372
102600.0	0.2
107400.0	0.19135802469135801
112200.0	0.18289085545722714
117000.0	0.17563739376770537
121800.0	0.16893732970027248
126600.0	0.16230366492146597
135600.0	0.15158924205378974
145200.0	0.1415525114155251
600.0	0.0
154800.0	0.13276231263383298
164400.0	0.12474849094567404
174000.0	0.11787072243346007
183600.0	0.11171171171171171
193200.0	0.10598290598290598
202800.0	0.10097719869706841
212400.0	0.09642301710730948
222000.0	0.09212481426448738
231600.0	0.08831908831908832
241200.0	0.08481532147742818
250800.0	0.08157894736842106
260400.0	0.07848101265822785
271200.0	0.07533414337788578
1200.0	0.0
1800.0	0.0
2400.0	0.0
3000.0	0.0
3600.0	0.0
4200.0	0.0
273000.0	0.0748792270531401
4800.0	0.0
5400.0	0.0
6000.0	0.0
6600.0	0.0
7200.0	0.0
7800.0	0.0
8400.0	0.0
137400.0	0.1497584541062802
9000.0	0.0
147000.0	0.13963963963963963
9600.0	0.0
10200.0	0.0
156600.0	0.13107822410147993
166200.0	0.12350597609561753
10800.0	0.0
175800.0	0.1167608286252354
11400.0	0.0
185400.0	0.11071428571428571
12000.0	0.0
195000.0	0.10508474576271186
12600.0	0.0
204600.0	0.1
13200.0	0.0
13800.0	0.0
214200.0	0.09553158705701079
223800.0	0.09144542772861357
14400.0	0.0
233400.0	0.0876944837340877
15000.0	0.0
243000.0	0.08423913043478261
15600.0	0.0
252600.0	0.08093994778067885
16200.0	0.0
16800.0	0.0
274800.0	0.0744297719087635
18000.0	0.0
19200.0	0.0
20400.0	0.0
21600.0	0.21212121212121213
22800.0	0.463768115942029
24000.0	0.4931506849315068
25200.0	0.5657894736842105
26400.0	0.55
27600.0	0.5238095238095238
28800.0	0.5057471264367817
30000.0	0.4835164835164835
31200.0	0.46808510638297873
32400.0	0.4489795918367347
33600.0	0.43137254901960786
36000.0	0.4036697247706422
38400.0	0.3793103448275862
40800.0	0.3548387096774194
43200.0	0.33587786259541985
45600.0	0.3188405797101449
48000.0	0.30344827586206896
50400.0	0.2875816993464052
52800.0	0.275
55200.0	0.2634730538922156
57600.0	0.25287356321839083
60000.0	0.2430939226519337
62400.0	0.2328042328042328
64800.0	0.22959183673469388
67200.0	0.22167487684729065
72000.0	0.20642201834862386
76800.0	0.25
81600.0	0.24696356275303644
86400.0	0.23754789272030652
91200.0	0.2246376811594203
96000.0	0.21379310344827587
100800.0	0.20394736842105263
105600.0	0.19435736677115986
110400.0	0.18618618618618618
115200.0	0.1781609195402299
120000.0	0.1712707182320442
124800.0	0.16445623342175067
129600.0	0.1585677749360614
134400.0	0.15308641975308643
144000.0	0.14285714285714285
153600.0	0.1336206896551724
163200.0	0.1257606490872211
172800.0	0.11877394636015326
182400.0	0.11252268602540835
192000.0	0.10671256454388985
201600.0	0.10147299509001637
211200.0	0.096875
220800.0	0.09267563527653214
230400.0	0.08882521489971347
240000.0	0.08528198074277854
249600.0	0.08190224570673713
259200.0	0.07888040712468193
268800.0	0.07607361963190185
270600.0	0.07551766138855055
136200.0	0.15085158150851583
145800.0	0.1409090909090909
155400.0	0.13219616204690832
165000.0	0.12424849699398798
174600.0	0.11742424242424243
184200.0	0.11131059245960502
193800.0	0.10562180579216354
203400.0	0.10064935064935066
213000.0	0.09612403100775194
222600.0	0.09198813056379822
232200.0	0.08819345661450925
241800.0	0.08458390177353342
251400.0	0.08136482939632546
261000.0	0.07828282828282829
272400.0	0.07506053268765134
67800.0	0.21951219512195122
274200.0	0.07451923076923077
72600.0	0.2054794520547945
77400.0	0.25213675213675213
82200.0	0.25
87000.0	0.23574144486692014
91800.0	0.22382671480144403
96600.0	0.21232876712328766
101400.0	0.20261437908496732
106200.0	0.19314641744548286
111000.0	0.18507462686567164
115800.0	0.17765042979942694
120600.0	0.17032967032967034
125400.0	0.164021164021164
130200.0	0.15776081424936386
138000.0	0.14903846153846154
147600.0	0.1393258426966292
157200.0	0.13052631578947368
166800.0	0.12301587301587301
176400.0	0.11632270168855535
186000.0	0.1103202846975089
195600.0	0.10472972972972973
205200.0	0.09967845659163987
214800.0	0.09523809523809523
224400.0	0.09117647058823529
234000.0	0.08744710860366714
243600.0	0.08401084010840108
253200.0	0.08072916666666667
139800.0	0.14691943127962084
149400.0	0.13747228381374724
159000.0	0.12916666666666668
168600.0	0.12156862745098039
178200.0	0.1150278293135436
187800.0	0.10915492957746478
197400.0	0.10367892976588629
207000.0	0.09888357256778309
216600.0	0.09451219512195122
